coin,side,limitPx,sz,oid,timestamp,origSz,check_time
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:00:08
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:00:23
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:00:23
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:00:23
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:00:23
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:00:39
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:00:39
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:00:39
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:00:39
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:00:54
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:00:54
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:00:54
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:00:54
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:01:09
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:01:09
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:01:09
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:01:09
